lsoa_code,borough,major_category,minor_category,value,year,month
E01002478,Hillingdon,Violence Against the Person,Wounding/GBH,0,2016,8
E01003992,Southwark,Criminal Damage,Criminal Damage To Motor Vehicle,1,2016,4
E01002564,Hounslow,Violence Against the Person,Other violence,0,2016,1
E01003280,Lewisham,Criminal Damage,Criminal Damage To Dwelling,0,2016,12
E01002015,Haringey,Violence Against the Person,Harassment,0,2016,10
E01000570,Brent,Violence Against the Person,Common Assault,1,2016,12
E01000649,Bromley,Violence Against the Person,Offensive Weapon,0,2016,2
E01002126,Harrow,Drugs,Drug Trafficking,0,2016,10
E01002046,Haringey,Drugs,Drug Trafficking,0,2016,8
E01004297,Tower Hamlets,Burglary,Burglary in Other Buildings,0,2016,12
E01004708,Westminster,Criminal Damage,Criminal Damage To Other Building,0,2016,8
E01033082,Hounslow,Drugs,Drug Trafficking,0,2016,3
E01004097,Sutton,Theft and Handling,Theft From Shops,0,2016,11
E01002174,Harrow,Violence Against the Person,Harassment,2,2016,9
E01002630,Hounslow,Theft and Handling,Other Theft,0,2016,4
E01004147,Sutton,Violence Against the Person,Offensive Weapon,0,2016,5
E01003439,Merton,Other Notifiable Offences,Going Equipped,0,2016,8
E01001793,Hackney,Theft and Handling,Theft/Taking of Pedal Cycle,1,2016,8
E01003394,Merton,Theft and Handling,Handling Stolen Goods,0,2016,8
E01002913,Kensington and Chelsea,Theft and Handling,Theft/Taking Of Motor Vehicle,1,2016,3
E01002430,Hillingdon,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2016,7
E01033583,Newham,Drugs,Drug Trafficking,0,2016,3
E01033494,Islington,Criminal Damage,Criminal Damage To Other Building,0,2016,3
E01002052,Haringey,Other Notifiable Offences,Going Equipped,0,2016,3
E01033598,Westminster,Robbery,Personal Property,0,2016,9
E01002637,Hounslow,Fraud or Forgery,Other Fraud & Forgery,0,2016,3
E01002680,Hounslow,Burglary,Burglary in a Dwelling,2,2016,9
E01004192,Sutton,Violence Against the Person,Common Assault,1,2016,11
E01002314,Havering,Robbery,Personal Property,0,2016,11
E01004322,Tower Hamlets,Theft and Handling,Handling Stolen Goods,0,2016,9
E01033574,Newham,Burglary,Burglary in a Dwelling,0,2016,12
E01003241,Lewisham,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2016,12
E01002415,Hillingdon,Criminal Damage,Criminal Damage To Dwelling,0,2016,4
E01001091,Croydon,Violence Against the Person,Other violence,0,2016,3
E01003651,Redbridge,Violence Against the Person,Other violence,0,2016,11
E01001567,Enfield,Fraud or Forgery,Counted per Victim,0,2016,9
E01001907,Hammersmith and Fulham,Theft and Handling,Motor Vehicle Interference & Tampering,0,2016,12
E01001139,Croydon,Criminal Damage,Criminal Damage To Dwelling,0,2016,8
E01003381,Merton,Sexual Offences,Rape,0,2016,2
E01000472,Brent,Theft and Handling,Other Theft,6,2016,8
E01000370,Bexley,Violence Against the Person,Assault with Injury,0,2016,1
E01003756,Redbridge,Theft and Handling,Theft From Shops,0,2016,1
E01004181,Sutton,Other Notifiable Offences,Other Notifiable,0,2016,8
E01003860,Richmond upon Thames,Other Notifiable Offences,Going Equipped,0,2016,4
E01004387,Waltham Forest,Drugs,Possession Of Drugs,0,2016,2
E01002165,Harrow,Drugs,Possession Of Drugs,0,2016,10
E01001578,Greenwich,Burglary,Burglary in Other Buildings,1,2016,5
E01003856,Richmond upon Thames,Violence Against the Person,Other violence,0,2016,5
E01004607,Wandsworth,Criminal Damage,Criminal Damage To Other Building,0,2016,11
E01001138,Croydon,Criminal Damage,Criminal Damage To Other Building,0,2016,2
E01001752,Hackney,Other Notifiable Offences,Other Notifiable,0,2016,2
E01001218,Ealing,Criminal Damage,Criminal Damage To Dwelling,0,2016,2
E01003141,Lambeth,Drugs,Drug Trafficking,0,2016,1
E01004729,Westminster,Violence Against the Person,Common Assault,0,2016,1
E01004051,Southwark,Theft and Handling,Other Theft,0,2016,9
E01000857,Camden,Theft and Handling,Motor Vehicle Interference & Tampering,1,2016,8
E01001568,Enfield,Theft and Handling,Theft/Taking Of Motor Vehicle,1,2016,6
E01004403,Waltham Forest,Robbery,Business Property,0,2016,6
E01001063,Croydon,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,10
E01001543,Enfield,Violence Against the Person,Other violence,0,2016,4
E01003416,Merton,Theft and Handling,Other Theft,0,2016,4
E01001559,Enfield,Fraud or Forgery,Counted per Victim,0,2016,8
E01001215,Ealing,Fraud or Forgery,Other Fraud & Forgery,0,2016,8
E01000737,Bromley,Violence Against the Person,Other violence,0,2016,3
E01000808,Bromley,Theft and Handling,Other Theft,0,2016,1
E01002316,Havering,Theft and Handling,Theft From Motor Vehicle,0,2016,8
E01002094,Haringey,Theft and Handling,Theft From Motor Vehicle,1,2016,10
E01000099,Barking and Dagenham,Theft and Handling,Handling Stolen Goods,0,2016,1
E01004712,Westminster,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,1
E01000846,Camden,Theft and Handling,Theft/Taking Of Motor Vehicle,1,2016,2
E01000022,Barking and Dagenham,Burglary,Burglary in a Dwelling,0,2016,7
E01004442,Waltham Forest,Criminal Damage,Criminal Damage To Other Building,0,2016,12
E01002620,Hounslow,Theft and Handling,Other Theft Person,0,2016,6
E01000289,Barnet,Burglary,Burglary in Other Buildings,0,2016,12
E01000228,Barnet,Criminal Damage,Criminal Damage To Motor Vehicle,0,2016,5
E01002332,Havering,Theft and Handling,Theft/Taking Of Motor Vehicle,1,2016,6
E01002390,Havering,Violence Against the Person,Assault with Injury,1,2016,8
E01033746,Greenwich,Violence Against the Person,Wounding/GBH,1,2016,3
E01002435,Hillingdon,Criminal Damage,Other Criminal Damage,0,2016,7
E01003827,Richmond upon Thames,Violence Against the Person,Common Assault,0,2016,1
E01001959,Hammersmith and Fulham,Robbery,Business Property,0,2016,11
E01002448,Hillingdon,Robbery,Business Property,0,2016,6
E01003020,Lambeth,Burglary,Burglary in Other Buildings,0,2016,6
E01002301,Havering,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,8
E01002736,Islington,Violence Against the Person,Common Assault,0,2016,1
E01001961,Hammersmith and Fulham,Violence Against the Person,Harassment,1,2016,9
E01003975,Southwark,Violence Against the Person,Other violence,1,2016,2
E01001677,Greenwich,Drugs,Drug Trafficking,0,2016,4
E01004482,Wandsworth,Criminal Damage,Criminal Damage To Dwelling,0,2016,5
E01000429,Bexley,Burglary,Burglary in a Dwelling,1,2016,6
E01000871,Camden,Drugs,Possession Of Drugs,0,2016,3
E01000050,Barking and Dagenham,Criminal Damage,Criminal Damage To Dwelling,0,2016,5
E01003491,Newham,Fraud or Forgery,Counted per Victim,0,2016,1
E01002426,Hillingdon,Other Notifiable Offences,Other Notifiable,0,2016,11
E01000407,Bexley,Theft and Handling,Theft From Motor Vehicle,1,2016,4
E01002671,Hounslow,Theft and Handling,Other Theft Person,0,2016,4
E01000224,Barnet,Theft and Handling,Theft From Motor Vehicle,1,2016,5
E01002449,Hillingdon,Criminal Damage,Other Criminal Damage,1,2016,11
E01003525,Newham,Criminal Damage,Other Criminal Damage,0,2016,2
E01000295,Barnet,Theft and Handling,Other Theft,1,2016,7
E01004427,Waltham Forest,Violence Against the Person,Wounding/GBH,0,2016,6
E01002706,Islington,Theft and Handling,Handling Stolen Goods,0,2016,6
E01001173,Croydon,Drugs,Possession Of Drugs,0,2016,9
E01004065,Southwark,Criminal Damage,Criminal Damage To Motor Vehicle,1,2016,11
E01003473,Merton,Robbery,Business Property,0,2016,9
E01004716,Westminster,Criminal Damage,Criminal Damage To Dwelling,0,2016,11
E01001266,Ealing,Theft and Handling,Theft From Shops,5,2016,10
E01004043,Southwark,Violence Against the Person,Common Assault,0,2016,5
E01003997,Southwark,Theft and Handling,Other Theft Person,0,2016,10
E01003795,Redbridge,Violence Against the Person,Wounding/GBH,0,2016,4
E01000904,Camden,Violence Against the Person,Wounding/GBH,0,2016,7
E01002845,Kensington and Chelsea,Criminal Damage,Criminal Damage To Motor Vehicle,0,2016,6
E01001568,Enfield,Burglary,Burglary in a Dwelling,3,2016,4
E01001009,Croydon,Robbery,Personal Property,1,2016,9
E01000293,Barnet,Burglary,Burglary in a Dwelling,1,2016,6
E01000028,Barking and Dagenham,Theft and Handling,Other Theft Person,0,2016,11
E01002852,Kensington and Chelsea,Theft and Handling,Motor Vehicle Interference & Tampering,0,2016,6
E01000977,Croydon,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,12
E01001376,Ealing,Criminal Damage,Criminal Damage To Other Building,0,2016,5
E01002611,Hounslow,Theft and Handling,Theft From Shops,0,2016,1
E01001470,Enfield,Criminal Damage,Criminal Damage To Dwelling,0,2016,5
E01003472,Merton,Theft and Handling,Theft From Motor Vehicle,1,2016,12
E01002388,Havering,Burglary,Burglary in Other Buildings,0,2016,8
E01004535,Wandsworth,Violence Against the Person,Harassment,2,2016,7
E01003897,Richmond upon Thames,Burglary,Burglary in Other Buildings,2,2016,12
E01000704,Bromley,Other Notifiable Offences,Other Notifiable,1,2016,4
E01002754,Islington,Theft and Handling,Other Theft Person,0,2016,5
E01004386,Waltham Forest,Drugs,Possession Of Drugs,0,2016,5
E01002748,Islington,Criminal Damage,Other Criminal Damage,0,2016,12
E01001700,Greenwich,Theft and Handling,Handling Stolen Goods,0,2016,6
E01002393,Hillingdon,Burglary,Burglary in Other Buildings,0,2016,6
E01004757,Westminster,Robbery,Business Property,0,2016,11
E01003385,Merton,Criminal Damage,Other Criminal Damage,0,2016,7
E01033702,Hackney,Violence Against the Person,Harassment,0,2016,12
E01001186,Croydon,Fraud or Forgery,Counted per Victim,0,2016,12
E01002981,Kingston upon Thames,Robbery,Personal Property,0,2016,10
E01001465,Enfield,Criminal Damage,Criminal Damage To Motor Vehicle,0,2016,12
E01002361,Havering,Violence Against the Person,Other violence,0,2016,7
E01000902,Camden,Other Notifiable Offences,Other Notifiable,0,2016,9
E01003057,Lambeth,Theft and Handling,Motor Vehicle Interference & Tampering,0,2016,6
E01004463,Waltham Forest,Violence Against the Person,Harassment,0,2016,5
E01004344,Waltham Forest,Violence Against the Person,Other violence,0,2016,1
E01004126,Sutton,Burglary,Burglary in a Dwelling,1,2016,7
E01004384,Waltham Forest,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,11
E01003189,Lewisham,Criminal Damage,Criminal Damage To Motor Vehicle,1,2016,4
E01003690,Redbridge,Theft and Handling,Theft From Motor Vehicle,0,2016,3
E01004040,Southwark,Theft and Handling,Other Theft,12,2016,7
E01004356,Waltham Forest,Theft and Handling,Handling Stolen Goods,0,2016,4
E01000968,Camden,Violence Against the Person,Harassment,0,2016,3
E01003428,Merton,Criminal Damage,Criminal Damage To Motor Vehicle,0,2016,1
E01003274,Lewisham,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2016,4
E01003336,Lewisham,Violence Against the Person,Wounding/GBH,0,2016,9
E01001450,Enfield,Criminal Damage,Criminal Damage To Dwelling,0,2016,4
E01004340,Waltham Forest,Theft and Handling,Theft/Taking of Pedal Cycle,1,2016,5
E01003599,Newham,Theft and Handling,Theft From Motor Vehicle,4,2016,12
E01003098,Lambeth,Robbery,Personal Property,0,2016,5
E01003428,Merton,Other Notifiable Offences,Other Notifiable,0,2016,6
E01003863,Richmond upon Thames,Burglary,Burglary in a Dwelling,0,2016,8
E01003929,Southwark,Theft and Handling,Other Theft Person,3,2016,9
E01003588,Newham,Violence Against the Person,Offensive Weapon,0,2016,5
E01002914,Kensington and Chelsea,Criminal Damage,Criminal Damage To Other Building,0,2016,7
E01002664,Hounslow,Robbery,Business Property,0,2016,4
E01003530,Newham,Theft and Handling,Handling Stolen Goods,0,2016,3
E01033085,Haringey,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,3
E01001185,Croydon,Theft and Handling,Theft From Motor Vehicle,0,2016,5
E01001880,Hammersmith and Fulham,Theft and Handling,Theft From Shops,1,2016,10
E01004215,Tower Hamlets,Violence Against the Person,Harassment,3,2016,5
E01001672,Greenwich,Criminal Damage,Criminal Damage To Motor Vehicle,0,2016,2
E01000571,Brent,Robbery,Personal Property,0,2016,10
E01004376,Waltham Forest,Violence Against the Person,Other violence,0,2016,1
E01001090,Croydon,Criminal Damage,Criminal Damage To Motor Vehicle,1,2016,6
E01004526,Wandsworth,Violence Against the Person,Wounding/GBH,0,2016,3
E01000681,Bromley,Violence Against the Person,Wounding/GBH,0,2016,6
E01003056,Lambeth,Other Notifiable Offences,Going Equipped,0,2016,1
E01000611,Brent,Criminal Damage,Criminal Damage To Motor Vehicle,0,2016,2
E01000235,Barnet,Drugs,Possession Of Drugs,0,2016,5
E01004023,Southwark,Fraud or Forgery,Counted per Victim,0,2016,4
E01003508,Newham,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,12
E01004080,Sutton,Other Notifiable Offences,Other Notifiable,0,2016,3
E01001911,Hammersmith and Fulham,Theft and Handling,Theft From Motor Vehicle,1,2016,9
E01000511,Brent,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2016,3
E01002640,Hounslow,Violence Against the Person,Assault with Injury,4,2016,3
E01001975,Haringey,Criminal Damage,Criminal Damage To Dwelling,0,2016,4
E01002591,Hounslow,Criminal Damage,Criminal Damage To Dwelling,0,2016,2
E01003616,Newham,Criminal Damage,Other Criminal Damage,0,2016,5
E01002076,Haringey,Drugs,Drug Trafficking,0,2016,7
E01000505,Brent,Violence Against the Person,Assault with Injury,1,2016,5
E01002921,Kingston upon Thames,Theft and Handling,Theft From Motor Vehicle,0,2016,6
E01004644,Wandsworth,Drugs,Drug Trafficking,0,2016,12
E01002507,Hillingdon,Drugs,Other Drugs,0,2016,5
E01000852,Camden,Violence Against the Person,Offensive Weapon,1,2016,4
E01003459,Merton,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,9
E01000908,Camden,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,10
E01001876,Hammersmith and Fulham,Violence Against the Person,Harassment,2,2016,12
E01000053,Barking and Dagenham,Other Notifiable Offences,Other Notifiable,2,2016,8
E01003333,Lewisham,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2016,7
E01001372,Ealing,Theft and Handling,Other Theft,0,2016,2
E01032638,Southwark,Drugs,Drug Trafficking,0,2016,6
E01001954,Hammersmith and Fulham,Violence Against the Person,Assault with Injury,0,2016,3
E01003937,Southwark,Violence Against the Person,Murder,0,2016,3
E01001829,Hackney,Theft and Handling,Other Theft Person,0,2016,8
E01033099,Wandsworth,Theft and Handling,Handling Stolen Goods,0,2016,12
E01003434,Merton,Robbery,Personal Property,0,2016,4
E01001169,Croydon,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,1
E01004633,Wandsworth,Theft and Handling,Other Theft,0,2016,10
E01001150,Croydon,Drugs,Drug Trafficking,0,2016,5
E01003275,Lewisham,Violence Against the Person,Wounding/GBH,1,2016,5
E01000262,Barnet,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2016,5
E01003882,Richmond upon Thames,Theft and Handling,Other Theft Person,0,2016,6
E01004039,Southwark,Criminal Damage,Criminal Damage To Dwelling,0,2016,7
E01001632,Greenwich,Theft and Handling,Motor Vehicle Interference & Tampering,0,2016,1
E01001138,Croydon,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,6
E01002515,Hillingdon,Theft and Handling,Handling Stolen Goods,0,2016,9
E01003591,Newham,Theft and Handling,Other Theft,4,2016,7
E01003341,Lewisham,Violence Against the Person,Common Assault,0,2016,10
E01002997,Kingston upon Thames,Theft and Handling,Other Theft,0,2016,8
E01001969,Haringey,Criminal Damage,Criminal Damage To Dwelling,0,2016,10
E01002048,Haringey,Theft and Handling,Other Theft,1,2016,4
E01004356,Waltham Forest,Theft and Handling,Handling Stolen Goods,0,2016,6
E01001946,Hammersmith and Fulham,Theft and Handling,Other Theft,1,2016,11
E01000557,Brent,Theft and Handling,Motor Vehicle Interference & Tampering,1,2016,8
E01001464,Enfield,Violence Against the Person,Wounding/GBH,0,2016,2
E01004662,Westminster,Violence Against the Person,Wounding/GBH,0,2016,6
E01001442,Enfield,Theft and Handling,Other Theft,2,2016,7
E01002853,Kensington and Chelsea,Theft and Handling,Motor Vehicle Interference & Tampering,0,2016,9
E01004335,Waltham Forest,Theft and Handling,Theft From Shops,0,2016,6
E01004006,Southwark,Violence Against the Person,Wounding/GBH,1,2016,12
E01003885,Richmond upon Thames,Criminal Damage,Criminal Damage To Other Building,0,2016,8
E01002718,Islington,Violence Against the Person,Offensive Weapon,0,2016,6
E01001621,Greenwich,Theft and Handling,Handling Stolen Goods,0,2016,12
E01000756,Bromley,Violence Against the Person,Harassment,1,2016,12
E01001872,Hammersmith and Fulham,Burglary,Burglary in Other Buildings,0,2016,5
E01001951,Hammersmith and Fulham,Robbery,Business Property,0,2016,5
E01004446,Waltham Forest,Theft and Handling,Handling Stolen Goods,0,2016,6
E01004218,Tower Hamlets,Violence Against the Person,Assault with Injury,1,2016,2
E01002271,Havering,Criminal Damage,Criminal Damage To Other Building,0,2016,12
E01002756,Islington,Burglary,Burglary in a Dwelling,0,2016,3
E01000007,Barking and Dagenham,Other Notifiable Offences,Going Equipped,0,2016,3
E01004607,Wandsworth,Criminal Damage,Criminal Damage To Motor Vehicle,0,2016,3
E01001034,Croydon,Criminal Damage,Other Criminal Damage,1,2016,12
E01004346,Waltham Forest,Theft and Handling,Handling Stolen Goods,0,2016,12
E01002988,Kingston upon Thames,Theft and Handling,Handling Stolen Goods,0,2016,9
E01003930,Southwark,Theft and Handling,Other Theft,3,2016,9
E01004538,Wandsworth,Theft and Handling,Other Theft Person,0,2016,10
E01001272,Ealing,Violence Against the Person,Offensive Weapon,0,2016,1
E01004467,Waltham Forest,Theft and Handling,Handling Stolen Goods,0,2016,4
E01002376,Havering,Violence Against the Person,Wounding/GBH,0,2016,7
E01001293,Ealing,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2016,8
E01003077,Lambeth,Theft and Handling,Other Theft,0,2016,6
E01032581,Redbridge,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,3
E01001900,Hammersmith and Fulham,Theft and Handling,Theft/Taking Of Motor Vehicle,1,2016,2
E01000170,Barnet,Robbery,Business Property,0,2016,8
E01002998,Kingston upon Thames,Violence Against the Person,Assault with Injury,0,2016,4
E01004595,Wandsworth,Theft and Handling,Theft/Taking Of Motor Vehicle,1,2016,1
E01002814,Kensington and Chelsea,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,3
E01003164,Lambeth,Violence Against the Person,Wounding/GBH,1,2016,8
E01003511,Newham,Robbery,Personal Property,0,2016,5
E01000575,Brent,Drugs,Possession Of Drugs,0,2016,6
E01002265,Havering,Violence Against the Person,Offensive Weapon,0,2016,12
E01003984,Southwark,Other Notifiable Offences,Other Notifiable,0,2016,12
E01003812,Richmond upon Thames,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,6
E01000200,Barnet,Robbery,Personal Property,0,2016,2
E01001569,Enfield,Burglary,Burglary in Other Buildings,1,2016,7
E01004609,Wandsworth,Violence Against the Person,Harassment,5,2016,11
E01003326,Lewisham,Theft and Handling,Motor Vehicle Interference & Tampering,0,2016,10
E01002464,Hillingdon,Theft and Handling,Motor Vehicle Interference & Tampering,0,2016,5
E01003476,Merton,Criminal Damage,Criminal Damage To Other Building,0,2016,12
E01001070,Croydon,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2016,1
E01001586,Greenwich,Violence Against the Person,Common Assault,0,2016,1
E01000856,Camden,Theft and Handling,Other Theft Person,2,2016,9
E01001343,Ealing,Violence Against the Person,Other violence,0,2016,8
E01033726,Greenwich,Criminal Damage,Criminal Damage To Motor Vehicle,0,2016,4
E01000028,Barking and Dagenham,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,6
E01003872,Richmond upon Thames,Violence Against the Person,Wounding/GBH,0,2016,11
E01002629,Hounslow,Violence Against the Person,Assault with Injury,3,2016,10
E01003840,Richmond upon Thames,Criminal Damage,Other Criminal Damage,0,2016,4
E01003787,Redbridge,Other Notifiable Offences,Going Equipped,0,2016,1
E01001988,Haringey,Violence Against the Person,Other violence,0,2016,2
E01003439,Merton,Theft and Handling,Theft/Taking of Pedal Cycle,1,2016,3
E01004287,Tower Hamlets,Other Notifiable Offences,Going Equipped,0,2016,2
E01002303,Havering,Violence Against the Person,Harassment,2,2016,3
E01003042,Lambeth,Criminal Damage,Criminal Damage To Dwelling,0,2016,12
E01000357,Bexley,Violence Against the Person,Wounding/GBH,0,2016,11
E01003781,Redbridge,Violence Against the Person,Murder,0,2016,10
E01000230,Barnet,Theft and Handling,Other Theft Person,0,2016,8
E01003342,Lewisham,Violence Against the Person,Offensive Weapon,0,2016,5
E01004152,Sutton,Burglary,Burglary in a Dwelling,0,2016,7
E01002043,Haringey,Robbery,Personal Property,2,2016,2
E01002601,Hounslow,Criminal Damage,Criminal Damage To Other Building,0,2016,2
E01003873,Richmond upon Thames,Burglary,Burglary in a Dwelling,0,2016,4
E01003901,Richmond upon Thames,Violence Against the Person,Common Assault,0,2016,4
E01003270,Lewisham,Theft and Handling,Motor Vehicle Interference & Tampering,1,2016,8
E01004256,Tower Hamlets,Violence Against the Person,Other violence,0,2016,4
E01000323,Barnet,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,3
E01001172,Croydon,Burglary,Burglary in a Dwelling,0,2016,2
E01003624,Newham,Robbery,Business Property,0,2016,5
E01002531,Hillingdon,Criminal Damage,Criminal Damage To Motor Vehicle,0,2016,9
E01000256,Barnet,Criminal Damage,Criminal Damage To Dwelling,0,2016,2
E01000396,Bexley,Violence Against the Person,Wounding/GBH,0,2016,10
E01003829,Richmond upon Thames,Drugs,Possession Of Drugs,0,2016,5
E01004067,Southwark,Violence Against the Person,Offensive Weapon,1,2016,12
E01003402,Merton,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2016,10
E01002861,Kensington and Chelsea,Violence Against the Person,Wounding/GBH,0,2016,8
E01004367,Waltham Forest,Burglary,Burglary in a Dwelling,2,2016,1
E01000277,Barnet,Burglary,Burglary in Other Buildings,0,2016,2
E01001667,Greenwich,Robbery,Personal Property,1,2016,4
E01000697,Bromley,Theft and Handling,Handling Stolen Goods,0,2016,9
E01002470,Hillingdon,Theft and Handling,Theft From Shops,1,2016,11
E01003675,Redbridge,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2016,11
E01003118,Lambeth,Violence Against the Person,Harassment,2,2016,3
E01002858,Kensington and Chelsea,Criminal Damage,Other Criminal Damage,0,2016,8
E01001808,Hackney,Criminal Damage,Other Criminal Damage,0,2016,9
E01001284,Ealing,Burglary,Burglary in a Dwelling,0,2016,11
E01004476,Wandsworth,Criminal Damage,Criminal Damage To Motor Vehicle,0,2016,3
E01001152,Croydon,Criminal Damage,Other Criminal Damage,1,2016,12
E01003068,Lambeth,Other Notifiable Offences,Other Notifiable,2,2016,3
E01002126,Harrow,Other Notifiable Offences,Other Notifiable,0,2016,7
E01002384,Havering,Theft and Handling,Other Theft Person,0,2016,4
E01001408,Enfield,Other Notifiable Offences,Other Notifiable,0,2016,10
E01002840,Kensington and Chelsea,Theft and Handling,Theft From Shops,1,2016,6
E01004571,Wandsworth,Criminal Damage,Criminal Damage To Motor Vehicle,2,2016,5
E01001896,Hammersmith and Fulham,Criminal Damage,Other Criminal Damage,0,2016,4
E01001513,Enfield,Burglary,Burglary in Other Buildings,2,2016,10
E01000848,Camden,Criminal Damage,Criminal Damage To Motor Vehicle,2,2016,4
E01000039,Barking and Dagenham,Burglary,Burglary in a Dwelling,0,2016,8
E01004140,Sutton,Criminal Damage,Criminal Damage To Dwelling,0,2016,2
E01003527,Newham,Theft and Handling,Theft From Shops,0,2016,3
E01000478,Brent,Criminal Damage,Criminal Damage To Dwelling,0,2016,9
E01001892,Hammersmith and Fulham,Criminal Damage,Criminal Damage To Dwelling,0,2016,8
E01000031,Barking and Dagenham,Other Notifiable Offences,Other Notifiable,0,2016,9
E01003253,Lewisham,Fraud or Forgery,Counted per Victim,0,2016,12
E01003904,Richmond upon Thames,Other Notifiable Offences,Other Notifiable,0,2016,1
E01003123,Lambeth,Burglary,Burglary in Other Buildings,0,2016,4
E01004144,Sutton,Robbery,Business Property,0,2016,7
E01002823,Kensington and Chelsea,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,7
E01003711,Redbridge,Violence Against the Person,Assault with Injury,0,2016,11
E01004010,Southwark,Drugs,Other Drugs,1,2016,7
E01002427,Hillingdon,Violence Against the Person,Offensive Weapon,0,2016,3
E01033494,Islington,Burglary,Burglary in Other Buildings,0,2016,2
E01001214,Ealing,Criminal Damage,Criminal Damage To Motor Vehicle,0,2016,1
E01003024,Lambeth,Criminal Damage,Criminal Damage To Other Building,0,2016,6
E01002024,Haringey,Theft and Handling,Other Theft,0,2016,10
E01001601,Greenwich,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2016,11
E01001154,Croydon,Burglary,Burglary in a Dwelling,0,2016,12
E01003868,Richmond upon Thames,Burglary,Burglary in a Dwelling,0,2016,10
E01000427,Bexley,Other Notifiable Offences,Other Notifiable,0,2016,12
E01001128,Croydon,Theft and Handling,Motor Vehicle Interference & Tampering,0,2016,11
E01033327,Lewisham,Other Notifiable Offences,Going Equipped,0,2016,1
E01001960,Hammersmith and Fulham,Violence Against the Person,Offensive Weapon,0,2016,2
E01002174,Harrow,Theft and Handling,Other Theft,0,2016,10
E01002037,Haringey,Other Notifiable Offences,Other Notifiable,0,2016,12
E01002649,Hounslow,Criminal Damage,Criminal Damage To Dwelling,0,2016,6
E01000621,Brent,Violence Against the Person,Assault with Injury,0,2016,12
E01003498,Newham,Robbery,Business Property,0,2016,7
E01004054,Southwark,Theft and Handling,Theft From Motor Vehicle,0,2016,11
E01001272,Ealing,Fraud or Forgery,Other Fraud & Forgery,0,2016,2
E01004646,Westminster,Robbery,Personal Property,0,2016,10
E01001923,Hammersmith and Fulham,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2016,4
E01003914,Southwark,Violence Against the Person,Harassment,1,2016,11
E01001972,Haringey,Theft and Handling,Other Theft Person,0,2016,10
E01000263,Barnet,Violence Against the Person,Harassment,0,2016,12
E01004609,Wandsworth,Theft and Handling,Theft From Shops,14,2016,10
E01004231,Tower Hamlets,Criminal Damage,Other Criminal Damage,1,2016,9
E01001703,Greenwich,Criminal Damage,Other Criminal Damage,1,2016,9
E01001267,Ealing,Criminal Damage,Criminal Damage To Dwelling,0,2016,3
E01003004,Kingston upon Thames,Criminal Damage,Other Criminal Damage,0,2016,12
E01002583,Hounslow,Theft and Handling,Motor Vehicle Interference & Tampering,1,2016,11
E01002463,Hillingdon,Theft and Handling,Handling Stolen Goods,0,2016,10
E01000042,Barking and Dagenham,Robbery,Personal Property,1,2016,5
E01002580,Hounslow,Theft and Handling,Other Theft,1,2016,11
E01003056,Lambeth,Violence Against the Person,Offensive Weapon,0,2016,1
E01001426,Enfield,Burglary,Burglary in a Dwelling,1,2016,1
E01002356,Havering,Fraud or Forgery,Counted per Victim,0,2016,8
E01000413,Bexley,Theft and Handling,Other Theft,0,2016,5
E01003088,Lambeth,Theft and Handling,Other Theft Person,0,2016,7
E01000913,Camden,Violence Against the Person,Other violence,1,2016,3
E01000532,Brent,Criminal Damage,Other Criminal Damage,0,2016,3
E01003660,Redbridge,Theft and Handling,Theft/Taking Of Motor Vehicle,1,2016,10
E01001780,Hackney,Theft and Handling,Theft/Taking of Pedal Cycle,2,2016,10
E01002612,Hounslow,Theft and Handling,Other Theft Person,3,2016,5
E01004166,Sutton,Criminal Damage,Criminal Damage To Other Building,0,2016,3
E01002854,Kensington and Chelsea,Violence Against the Person,Wounding/GBH,0,2016,1
